"track","category","method","config_id","rep","runtime_sec","sample_accesses","memory_mb","mean_estimate","mean_abs_error","mean_ci_cover","mean_ci_width","coef_estimate","coef_abs_error","coef_ci_cover","coef_ci_width","mse","r2"
"Simulation","Mini-batch","SGD","bs256",8,9.39889407157898,1600000,2.74760437011719,2.59101122219187,0,1,0.0372733252017756,0.80592358381063,0.00592358381062974,1,0.0256279395782248,1.09044546755861,0.698469897748796
"Simulation","Hybrid","BLB->One-step","A",1,8.03309202194214,2040500,0.00936126708984375,2.59101122219187,0,1,0.0372733252017756,0.805686357135207,0.00568635713520727,1,0.0256276943184266,1.09042459649679,0.69847566901714
"Simulation","Hybrid","BLB->One-step","A",2,8.36088871955872,2040500,0.00936126708984375,2.59101122219187,0,1,0.0372733252017756,0.805686357135207,0.00568635713520715,1,0.0256276943184266,1.09042459649679,0.69847566901714
"Simulation","Hybrid","BLB->One-step","A",3,8.50699090957642,2040500,0.00936126708984375,2.59101122219187,0,1,0.0372733252017756,0.805686357135207,0.00568635713520738,1,0.0256276943184266,1.09042459649679,0.69847566901714
"Simulation","Hybrid","BLB->One-step","A",4,7.71647429466248,2040500,0.00936126708984375,2.59101122219187,0,1,0.0372733252017756,0.805686357135208,0.00568635713520771,1,0.0256276943184266,1.09042459649679,0.69847566901714
"Simulation","Hybrid","BLB->One-step","A",5,7.97914814949036,2040500,0.00936126708984375,2.59101122219187,0,1,0.0372733252017756,0.805686357135207,0.00568635713520704,1,0.0256276943184266,1.09042459649679,0.69847566901714
"Simulation","Hybrid","BLB->One-step","A",6,8.45688796043396,2040500,0.00936126708984375,2.59101122219187,0,1,0.0372733252017756,0.805686357135207,0.00568635713520727,1,0.0256276943184266,1.09042459649679,0.69847566901714
"Simulation","Hybrid","BLB->One-step","A",7,8.30044198036194,2040500,0.00936126708984375,2.59101122219187,0,1,0.0372733252017756,0.805686357135207,0.00568635713520715,1,0.0256276943184266,1.09042459649679,0.69847566901714
"Simulation","Hybrid","BLB->One-step","A",8,7.94714307785034,2040500,0.00936126708984375,2.59101122219187,0,1,0.0372733252017756,0.805686357135208,0.00568635713520749,1,0.0256276943184266,1.09042459649679,0.69847566901714
"Simulation","Hybrid","One-step->SGD","B",1,11.8292810916901,1162500,2.74760437011719,2.59101122219187,0,1,0.0372733252017756,0.800536473614474,0.000536473614474064,1,0.0256297862304697,1.09060261995967,0.698426441949339
"Simulation","Hybrid","One-step->SGD","B",2,12.9894268512726,1162500,2.74760437011719,2.59101122219187,0,1,0.0372733252017756,0.810822462097048,0.0108224620970482,1,0.0256372223165169,1.09123555472713,0.698251422756882
"Simulation","Hybrid","One-step->SGD","B",3,12.9772481918335,1162500,2.74760437011719,2.59101122219187,0,1,0.0372733252017756,0.806601529237249,0.00660152923724933,1,0.0256411103867453,1.09156656735758,0.698159891107407
"Simulation","Hybrid","One-step->SGD","B",4,8.80626797676086,1162500,2.74760437011719,2.59101122219187,0,1,0.0372733252017756,0.8041901664987,0.00419016649870041,1,0.0256309796341874,1.09070418612265,0.698398356862627
"Simulation","Hybrid","One-step->SGD","B",5,8.84753203392029,1162500,2.74760437011719,2.59101122219187,0,1,0.0372733252017756,0.802392697820821,0.00239269782082141,1,0.0256302048519068,1.09063824673864,0.698416590428445
"Simulation","Hybrid","One-step->SGD","B",6,8.21090793609619,1162500,2.74760437011719,2.59101122219187,0,1,0.0372733252017756,0.798492496369352,0.00150750363064833,1,0.0256295161785018,1.09057963749469,0.698432797063116
"Simulation","Hybrid","One-step->SGD","B",7,8.2051248550415,1162500,2.74760437011719,2.59101122219187,0,1,0.0372733252017756,0.795193014226677,0.00480698577332317,1,0.0256337918712792,1.09094354389093,0.69833216962586
"Simulation","Hybrid","One-step->SGD","B",8,8.24633598327637,1162500,2.74760437011719,2.59101122219187,0,1,0.0372733252017756,0.803596092922179,0.00359609292217888,1,0.0256295188166074,1.0905798620065,0.698432734981086
"Simulation","Hybrid","Stratified-SGD->Aggregate","C",1,3.36097192764282,1600000,0.00130462646484375,2.59101122219187,0,1,0.0372733252017756,0.719774735667668,0.0802252643323318,1,2.55092791471239,1.31351408351984,0.636786939195707
"Simulation","Hybrid","Stratified-SGD->Aggregate","C",2,3.31498098373413,1600000,0.00130462646484375,2.59101122219187,0,1,0.0372733252017756,0.708127363653165,0.091872636346835,1,2.56867068103842,1.31402606828705,0.636645365110801
"Simulation","Hybrid","Stratified-SGD->Aggregate","C",3,3.13586711883545,1600000,0.00130462646484375,2.59101122219187,0,1,0.0372733252017756,0.711883643610931,0.0881163563890689,1,2.55239822795707,1.31927775756382,0.635193167406535
"Simulation","Hybrid","Stratified-SGD->Aggregate","C",4,2.84333896636963,1600000,0.00130462646484375,2.59101122219187,0,1,0.0372733252017756,0.711071913326595,0.088928086673405,1,2.59650108154511,1.31605319284186,0.636084824402925
"Simulation","Hybrid","Stratified-SGD->Aggregate","C",5,2.8885600566864,1600000,0.00130462646484375,2.59101122219187,0,1,0.0372733252017756,0.712788585940547,0.0872114140594527,1,2.5883558456616,1.31053712971646,0.637610126793284
